"MonthlyEarnings","AveWeeklyHours","IQ","Knowledge","YearsEdu","YearsExperience","Tenure","Age","Married","Black","South","Urban","NumSiblings","BirthOrder","MomEdu","DadEdu"
1596.58,1776,107,37,12,17,12,35,1,0,0,0,2,3,NA,NA
1067.94,1188,91,39,12,6,12,36,1,0,0,1,5,4,9,10
600.79,668,125,44,17,9,2,31,1,0,1,1,3,1,16,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494.34,550,76,26,12,12,2,31,1,1,1,0,0,1,9,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182.66,1316,101,30,12,11,6,30,1,0,0,1,3,1,10,10
1707.76,1900,109,33,15,11,1,29,1,0,1,1,2,1,11,9
967.41,1076,92,41,12,16,17,38,1,0,0,0,12,1,8,4
1024.17,1139,114,48,13,15,16,37,1,0,1,1,3,1,12,NA
947.31,1054,100,30,14,6,10,29,1,1,1,1,2,1,NA,NA
946.12,1052,112,39,12,15,3,34,1,0,0,1,6,4,7,NA
565.3,629,90,35,10,19,10,34,1,0,1,1,2,1,9,9
2527.34,2811,108,45,16,11,2,36,1,0,0,1,2,3,12,NA
960.32,1068,81,20,10,17,13,34,1,1,1,1,2,2,8,3
1228.78,1367,113,49,14,12,8,34,1,0,0,1,1,2,16,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170.82,1302,108,42,13,13,9,33,1,0,0,0,4,1,16,16
1182.66,1316,112,47,14,15,4,35,1,0,0,1,4,1,12,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,1138,85,44,13,4,9,34,1,0,1,1,3,3,8,8
1894.61,2107,97,47,15,14,14,37,1,0,0,1,1,1,8,NA
1123.52,1250,81,29,11,16,5,35,1,0,1,0,3,4,10,6
1023,1138,110,35,16,1,11,31,1,0,0,1,3,1,9,12
1506.7,1676,106,35,13,11,12,31,1,0,0,1,0,1,15,12
2062.55,2294,106,41,16,8,9,29,1,0,1,1,1,1,12,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709.59,789,120,45,15,12,1,38,1,0,0,0,3,4,12,NA
1465.31,1630,109,44,12,16,4,38,1,0,0,1,3,3,12,NA
937.85,1043,96,43,12,17,18,36,1,0,0,0,4,5,8,8
1374.24,1529,89,39,12,11,4,37,1,0,1,1,3,3,15,NA
1421.55,1581,102,32,13,10,3,31,1,0,1,1,7,7,8,6
1123.52,1250,96,38,12,14,2,35,1,0,0,1,1,1,8,2
1892.25,2105,109,44,14,16,5,33,1,0,0,0,2,NA,9,10
960.32,1068,98,42,12,10,2,29,0,0,0,1,3,2,12,12
636.26,708,77,22,12,12,10,28,1,1,1,0,9,NA,7,NA
1064.39,1184,103,38,12,15,1,37,1,0,1,0,3,3,8,6
493.17,549,131,39,12,7,1,28,0,0,0,1,1,2,12,6
1224.05,1362,107,42,12,21,14,38,1,0,0,1,1,2,11,8
577.14,642,103,40,17,5,3,31,1,0,1,1,1,NA,12,16
1276.08,1419,87,33,12,18,9,36,1,0,0,1,5,5,8,NA
980.42,1091,98,33,12,15,15,36,1,0,0,1,4,5,8,8
843.24,938,75,25,12,5,12,36,1,1,1,1,7,4,NA,NA
630.36,701,65,21,12,5,1,32,0,1,0,1,5,1,11,12
1124.7,1251,116,40,12,9,7,30,1,0,0,1,4,5,12,9
675.29,751,66,20,9,15,10,33,1,0,1,0,5,1,8,6
946.12,1052,105,42,14,12,12,37,1,0,0,0,3,2,10,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591.85,1771,108,51,16,9,4,36,1,0,0,1,1,2,12,10
946.12,1052,115,39,18,11,1,35,1,0,1,1,0,1,8,8
591.33,658,101,31,14,12,0,32,1,0,0,0,2,2,11,6
739.16,822,73,24,11,1,1,31,1,0,0,1,3,4,12,12
1478.33,1644,114,37,16,8,8,30,1,0,0,1,5,3,2,8
739.16,822,110,32,12,18,0,35,1,0,0,1,4,1,9,8
1195.66,1330,104,43,12,20,7,37,1,0,1,1,0,1,NA,NA
978.05,1088,105,29,16,7,8,30,1,0,0,1,2,1,16,12
1219.32,1356,112,24,14,9,5,29,1,0,0,1,4,2,12,12
1182.66,1316,93,32,11,16,14,34,1,0,0,1,1,NA,12,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348.23,1500,109,43,12,16,15,35,1,0,0,1,2,2,11,6
974.51,1084,92,37,12,19,15,38,1,0,0,1,1,1,12,11
1091.59,1214,105,54,18,7,14,34,1,0,0,1,1,1,12,12
794.74,884,96,38,12,13,3,34,1,0,0,1,2,NA,12,13
1576.48,1754,106,38,15,5,1,30,1,0,1,1,2,2,12,12
1108.15,1233,102,36,12,16,8,35,1,0,0,1,3,2,12,6
573.59,638,120,43,12,11,1,30,1,1,1,1,6,6,NA,NA
1125.89,1252,99,34,13,10,10,31,1,1,0,1,1,1,8,10
1114.06,1239,85,36,12,7,10,38,1,0,0,1,4,5,NA,NA
1636.8,1821,114,48,18,12,2,37,1,0,0,1,1,1,12,13
664.65,739,90,46,13,4,1,38,1,0,1,0,1,1,12,11
1932.45,2150,94,39,13,18,18,36,1,0,1,1,2,2,8,8
1536.27,1709,125,44,18,6,12,35,0,0,0,1,1,2,8,8
1039.55,1156,118,41,18,1,9,31,1,0,0,1,1,2,13,13
716.68,797,100,39,18,6,5,30,0,0,0,0,1,NA,12,12
512.09,570,98,28,12,11,10,30,0,0,0,1,1,1,12,11
910.64,1013,105,34,17,7,11,30,1,0,0,1,3,1,12,12
934.29,1039,115,34,12,15,2,34,1,0,0,0,6,5,6,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183.84,1317,109,48,12,20,22,37,1,0,0,1,1,1,8,10
603.15,671,62,34,11,13,4,33,0,1,1,1,7,6,2,10
1875.69,2086,92,47,14,16,1,36,1,0,1,1,4,4,12,NA
750.98,835,105,29,12,15,15,33,1,0,0,0,2,2,10,NA
1478.33,1644,117,31,14,7,1,28,1,0,0,1,1,2,12,12
591.33,658,83,39,12,18,11,36,1,1,1,1,0,1,7,NA
1123.52,1250,86,31,10,23,5,38,1,0,1,1,9,9,NA,6
1416.82,1576,117,39,16,7,9,30,1,0,1,1,1,2,12,12
985.16,1096,96,37,16,9,7,31,1,0,0,1,4,4,12,14
664.65,739,99,25,12,18,12,34,0,0,0,0,1,1,12,12
2009.33,2235,100,40,12,11,9,33,1,0,0,1,1,2,12,8
761.63,847,101,38,12,11,5,33,1,0,1,0,4,3,12,NA
1076.21,1197,95,27,12,16,5,35,1,0,1,1,2,3,12,14
566.49,630,97,45,12,15,1,38,1,0,1,0,3,4,NA,NA
532.19,592,95,31,11,12,2,30,1,0,1,0,2,3,8,8
1182.66,1316,72,20,12,16,9,34,1,0,0,1,3,4,12,12
894.09,995,78,29,14,9,2,31,1,0,0,1,2,2,12,12
1591.85,1771,99,33,16,9,8,30,1,0,0,1,2,NA,11,12
727.33,809,99,49,15,16,15,38,1,0,0,0,2,3,12,14
1251.24,1392,120,44,16,16,13,37,1,0,0,0,5,4,12,4
942.58,1048,90,36,16,11,5,33,1,0,0,1,5,2,14,17
1078.58,1200,96,32,16,11,5,30,1,0,0,1,2,2,14,12
862.16,959,122,40,18,6,13,34,1,0,0,1,3,3,8,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1361.23,1514,87,41,12,18,9,38,1,0,0,1,2,1,12,12
960.32,1068,131,44,16,9,3,30,0,0,0,0,1,1,12,12
758.09,843,125,44,14,9,0,37,1,0,0,1,1,1,12,11
625.63,696,110,31,13,14,11,32,1,0,0,0,1,1,12,8
768.72,855,99,36,12,13,10,30,1,0,1,0,1,2,12,10
1576.48,1754,103,30,16,7,1,34,1,0,0,1,3,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994.62,1106,109,45,18,13,2,36,1,0,0,0,3,4,16,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137.71,1266,120,39,16,8,9,32,1,0,0,0,0,1,18,NA
756.9,842,96,39,12,7,3,31,0,1,1,1,5,NA,NA,NA
1820.11,2025,115,38,17,7,9,31,1,0,1,1,2,1,12,16
636.26,708,98,45,18,5,1,34,1,0,0,1,2,2,13,NA
606.71,675,119,30,17,8,5,31,0,0,0,1,1,1,12,8
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212.23,1348,110,30,16,9,4,30,1,0,0,0,3,NA,10,12
1043.1,1160,96,34,12,15,13,31,1,0,0,0,6,3,8,10
584.23,650,74,30,12,16,4,34,1,1,1,0,5,NA,NA,NA
1419.19,1579,84,13,12,13,9,32,1,0,0,1,5,2,6,6
650.46,724,95,20,12,4,1,30,0,0,0,0,3,4,12,10
966.23,1075,101,38,16,11,9,32,1,0,1,1,1,2,0,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1306.84,1454,119,32,16,9,10,30,0,0,1,1,5,1,11,10
901.18,1002,104,37,15,6,4,33,1,0,0,0,2,1,11,12
909.47,1012,93,35,12,11,2,31,1,0,0,1,1,2,8,8
955.59,1063,99,40,12,18,13,38,1,1,0,1,0,1,9,8
436.4,485,117,36,18,11,1,31,0,0,0,0,3,4,NA,NA
558.21,621,71,24,11,9,0,32,1,0,1,1,13,6,6,6
709.59,789,127,44,12,8,3,28,0,0,1,0,2,2,9,12
745.07,829,103,30,15,14,2,32,1,0,1,0,0,1,11,5
1200.39,1335,67,31,12,15,11,32,1,1,0,1,3,2,9,5
578.32,643,104,47,13,20,4,38,1,0,1,1,2,2,NA,NA
1615.5,1797,90,35,12,13,1,30,1,0,0,1,3,3,12,12
512.09,570,100,40,12,5,9,37,1,0,0,0,2,2,8,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1194.49,1329,97,42,18,7,14,34,1,0,0,1,4,5,14,NA
1313.93,1462,98,32,14,10,1,29,1,0,0,1,3,1,12,15
1419.19,1579,97,35,12,10,4,31,1,0,0,1,3,1,12,12
963.86,1072,114,25,12,15,14,31,1,0,0,0,2,1,12,10
1364.78,1518,94,37,16,11,5,33,1,0,0,1,1,NA,12,12
1282,1426,95,38,15,17,10,37,1,0,0,1,1,2,16,16
1421.55,1581,100,40,12,18,2,37,1,0,0,1,0,1,12,12
946.12,1052,98,31,12,16,12,33,1,0,0,0,3,4,10,8
904.73,1006,94,38,12,17,18,37,1,0,0,0,10,6,4,6
2956.64,3289,82,41,12,21,1,38,1,0,1,0,3,3,8,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886.99,987,74,23,10,13,9,30,1,0,0,1,4,2,11,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177.93,1310,114,41,12,5,14,31,1,0,0,1,2,1,12,10
1628.52,1811,118,48,16,15,1,36,1,0,0,1,2,2,11,10
1214.59,1351,115,41,12,16,7,35,1,0,0,1,4,3,8,5
1420.37,1580,98,38,11,17,16,36,1,0,1,0,4,5,11,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
941.39,1047,119,31,13,16,15,37,1,1,0,1,7,1,11,NA
614.98,684,79,28,16,6,1,30,1,1,1,0,0,1,11,NA
1326.93,1476,132,45,18,13,8,32,1,0,1,1,2,3,12,7
1109.33,1234,108,41,12,19,20,38,1,0,0,1,0,1,8,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064.39,1184,100,27,12,18,5,34,0,0,0,1,2,2,8,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236.53,263,103,38,10,11,15,32,1,0,1,1,3,2,12,5
909.47,1012,105,29,12,16,5,33,1,0,1,0,4,1,7,7
946.12,1052,110,36,12,19,12,36,1,0,0,1,7,8,NA,NA
1099.86,1223,126,44,14,10,1,31,0,0,0,1,3,NA,8,NA
2022.34,2250,114,39,18,7,6,32,1,0,0,1,1,1,12,NA
825.49,918,97,33,12,10,4,29,1,0,0,1,2,3,8,8
1601.31,1781,119,49,17,13,9,35,0,0,0,0,2,1,16,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808.94,900,111,25,14,7,7,29,1,0,0,1,4,1,12,12
946.12,1052,96,33,12,17,12,35,1,0,0,1,1,2,6,8
1490.15,1658,79,39,12,19,15,37,1,0,0,0,3,2,9,8
675.29,751,78,33,13,10,1,29,0,1,0,1,5,5,8,9
1675.83,1864,88,36,16,9,10,32,0,0,0,1,2,1,12,12
1405,1563,105,28,12,11,7,30,1,0,0,1,3,1,12,10
739.16,822,129,40,18,4,5,36,1,0,1,0,3,1,15,15
1182.66,1316,104,36,16,11,8,30,1,0,0,1,1,1,12,11
1537.45,1710,78,40,13,12,3,33,1,0,1,1,2,3,12,12
798.29,888,77,42,12,20,4,38,1,1,1,1,5,2,12,6
1215.77,1352,111,28,12,19,12,37,1,1,1,1,3,4,12,NA
614.98,684,107,30,18,6,3,29,1,0,0,0,10,1,12,14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2187.91,2434,80,23,11,14,15,33,1,0,0,1,3,NA,10,10
1655.72,1842,116,43,16,14,2,35,1,1,0,1,1,2,8,NA
1773.98,1973,103,29,12,10,11,34,1,0,0,1,2,3,12,7
891.72,992,55,23,12,13,14,33,1,1,1,0,2,1,10,NA
1516.16,1687,121,39,18,7,13,32,1,0,0,1,2,2,12,12
975.69,1085,108,46,14,11,9,33,1,0,0,1,1,2,14,14
413.92,460,116,36,16,5,3,33,1,0,1,1,2,2,11,12
1894.61,2107,124,32,16,8,9,29,1,0,0,1,3,1,16,16
955.59,1063,93,26,12,17,9,37,1,1,1,0,4,1,NA,NA
1251.24,1392,89,28,12,7,3,29,1,0,0,1,2,NA,8,6
1421.55,1581,125,30,14,10,11,29,1,0,0,1,2,3,12,12
709.59,789,116,36,12,20,2,38,1,0,0,0,10,10,8,NA
865.7,963,73,28,10,17,5,36,1,0,0,1,5,6,NA,NA
940.21,1046,88,27,12,17,18,35,1,0,0,0,2,2,10,12
2556.9,2844,115,51,17,4,4,38,1,0,0,1,1,1,12,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1675.83,1864,125,41,17,9,4,34,1,0,0,1,3,1,13,12
1182.66,1316,96,34,16,9,1,31,0,0,1,1,4,2,12,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682.4,759,106,43,17,11,7,33,0,1,1,1,3,2,13,16
1182.66,1316,93,26,11,11,0,29,1,0,1,1,5,3,12,12
1182.66,1316,103,37,12,9,5,29,1,0,1,1,0,1,11,NA
1278.45,1422,123,46,18,11,7,36,1,0,0,0,1,1,12,12
1241.79,1381,119,37,16,7,18,37,0,0,0,1,2,2,12,13
591.33,658,86,22,12,11,9,29,1,0,0,0,5,5,10,12
461.23,513,74,26,15,10,3,30,1,1,1,1,3,3,7,6
1419.19,1579,108,29,12,16,11,33,1,0,0,1,3,2,8,NA
787.64,876,89,28,12,16,1,34,1,1,1,1,6,1,9,NA
1229.96,1368,115,49,15,8,15,35,1,0,0,1,3,4,NA,11
1343.5,1494,117,36,14,16,12,34,1,0,1,1,2,3,12,12
1454.66,1618,96,33,13,11,12,30,1,0,0,1,3,2,10,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1194.49,1329,104,37,11,15,7,38,1,0,0,0,6,1,9,6
1183.84,1317,137,36,13,11,11,33,1,0,0,0,5,6,12,NA
833.78,927,76,32,12,13,8,37,1,1,0,1,5,NA,NA,NA
1111.7,1237,104,25,12,13,0,32,1,1,0,1,7,2,12,8
739.16,822,108,26,13,11,9,30,1,0,0,1,3,NA,12,16
1259.53,1401,97,40,12,21,10,36,1,0,1,1,1,1,12,NA
1419.19,1579,119,28,16,11,5,30,1,0,0,1,5,1,10,11
136,151,108,46,12,9,3,29,1,0,0,1,5,6,10,11
1421.55,1581,84,21,14,6,5,31,1,1,0,1,2,1,11,9
1071.48,1192,120,40,14,16,2,37,1,0,0,1,5,1,12,12
1932.45,2150,95,48,12,18,3,38,1,0,1,1,3,3,NA,3
1111.7,1237,98,41,18,10,7,31,1,0,1,1,2,2,8,12
591.33,658,87,25,13,5,2,31,1,0,1,1,7,NA,12,NA
782.91,871,99,27,14,7,2,28,1,1,1,0,6,1,5,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1720.76,1914,109,44,16,8,13,36,1,0,0,1,1,2,8,8
564.13,628,100,33,12,9,3,31,1,0,1,0,3,3,7,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
787.64,876,117,34,15,8,2,32,1,0,0,1,0,1,NA,NA
1705.38,1897,110,40,13,13,13,29,1,1,1,1,1,2,7,9
910.64,1013,80,25,12,16,14,35,1,0,0,1,1,2,12,12
1365.97,1519,109,49,17,13,4,38,1,0,0,0,3,3,12,8
591.33,658,69,18,9,21,13,38,1,1,1,1,8,6,6,NA
859.79,956,106,40,15,10,5,31,0,0,0,1,1,NA,12,12
1300.92,1447,91,41,12,18,10,36,1,0,0,0,2,3,8,8
1421.55,1581,101,40,15,15,17,37,1,0,0,1,3,2,12,12
955.59,1063,109,47,13,14,12,38,1,0,0,1,2,2,12,10
1364.78,1518,134,46,18,10,10,37,1,0,1,1,2,1,12,12
1364.78,1518,111,37,15,13,1,36,1,0,0,0,2,3,14,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021.81,1137,87,38,12,15,6,31,1,0,0,0,1,1,12,12
993.43,1105,105,39,12,19,15,38,1,0,0,0,3,1,12,8
680.02,756,86,20,10,12,6,33,1,1,1,1,8,NA,NA,NA
1245.34,1385,90,33,12,18,7,37,1,0,1,0,1,1,11,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007.62,1121,89,36,10,13,9,32,1,0,1,1,6,7,9,NA
1402.62,1560,91,41,17,8,9,33,1,0,0,1,1,1,12,14
844.41,939,90,32,12,17,1,37,1,0,0,0,5,3,12,12
1182.66,1316,70,18,12,12,5,32,0,1,0,1,6,NA,8,8
1290.28,1435,88,31,13,13,4,37,1,0,0,1,4,1,12,NA
1023,1138,66,30,11,10,7,30,1,0,0,1,14,4,0,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
